t_s,delta_road_rad,yaw_rate_meas_rads,yaw_rate_resid_rads,yaw_rate_pred_rads
40.42,-0.0044901,-0.0379925,0.00349708,-0.036771469317361215
40.44,-0.00441466,-0.0382559,0.0024302,-0.035968154026635196
40.46,-0.00441466,-0.037,0.0036631,-0.03594507455498552
40.48,-0.00441466,-0.0372403,0.00345717,-0.03597954581712894
40.5,-0.00441466,-0.0369873,0.00377931,-0.03604863628674686
40.52,-0.00441466,-0.0356,0.00508539,-0.03596741429997975
40.54,-0.00441466,-0.0353629,0.00525335,-0.03589832383036184
40.56,-0.00449761,-0.0348,0.00662556,-0.03670762313870488
40.58,-0.00441466,-0.0349206,0.00575011,-0.035952767712202086
40.6,-0.00441466,-0.0356,0.00505551,-0.03593752934310006
40.62,-0.00441466,-0.034916,0.00571508,-0.0359131183634706
40.64,-0.00441466,-0.0341213,0.006553,-0.035956318400148186
40.66,-0.00431199,-0.0338401,0.00595917,-0.03508116736139348
40.68,-0.00431199,-0.0341202,0.00563167,-0.03503391436310177
40.7,-0.00431199,-0.0342,0.00542671,-0.0349087733951488
40.72,-0.00431199,-0.0342,0.00546609,-0.03494807864143426
40.74,-0.00431199,-0.0340454,0.00570293,-0.035030301748553476
40.76,-0.00431199,-0.0345656,0.0051323,-0.03497986964945926
40.78,-0.0042912,-0.033438,0.0060188,-0.03473885271915153
40.8,-0.00420932,-0.0328427,0.0059139,-0.03403858798796906
40.82,-0.00418662,-0.0338,0.00479984,-0.033881912283313845
40.84,-0.00410666,-0.0328567,0.0049518,-0.033090462997565406
40.86,-0.00408915,-0.0312294,0.00639918,-0.03291061629779248
40.88,-0.00400399,-0.03,0.00689319,-0.03217513181683048
40.9,-0.00400399,-0.0302,0.00666009,-0.032142122875685894
40.92,-0.00400399,-0.0293503,0.00746262,-0.03209489056965789
40.94,-0.00400399,-0.0272636,0.00951361,-0.032059197974761734
40.96,-0.00400399,-0.0265661,0.0102687,-0.03211676234773336
40.98,-0.00402536,-0.0262,0.010887,-0.032369071283782976
41.0,-0.00410666,-0.0266851,0.0110822,-0.03304945121607694
41.02,-0.00410666,-0.0283052,0.00942214,-0.03300926517515536
41.04,-0.00420932,-0.0288357,0.00988642,-0.03400416841202835
41.06,-0.00420932,-0.0297222,0.00902604,-0.03403012415781971
41.08,-0.00423454,-0.0307473,0.00814638,-0.03417572048302037
