n,rmse_yaw,mae_yaw,bias_yaw,rmse_ay,bias_ay,std_yaw_meas,mean_v,plat,seg
1426,0.003790629359568696,0.002749013525806452,-0.002329163274193548,0.27618569151568007,-0.1875939119670407,0.03470104543530021,12.979240168302947,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/42f08a29af3699f4/00000001--36030103a7/30/sim.csv
2899,0.007950543473164274,0.007421339149553295,-0.00729181939970852,0.12883822608769052,0.07181749537909625,0.0037292140400038173,29.38585298378751,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/42f08a29af3699f4/00000001--36030103a7/47/sim.csv
2899,0.004374675544366848,0.0030554506517405998,-0.0014549279171286646,0.4170388223478555,0.20973746222180062,0.014417083991154664,31.376527526733355,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/42f08a29af3699f4/00000002--a25ec65577/11/sim.csv
2899,0.003963678912795638,0.003225009812435323,0.002330244497361159,0.23678802385378378,0.20594427075508798,0.010490921994022549,20.40289194204898,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/42f08a29af3699f4/00000002--a25ec65577/6/sim.csv
1647,0.005636818293603566,0.004235668072896175,0.0036717068442380088,0.1349505216921046,0.09147921116276866,0.006827689542202598,17.577826879174253,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/42f08a29af3699f4/00000004--8b07172f47/4/sim.csv
2899,0.015943467172736737,0.015587094846994826,0.015587094846994826,0.38574177557625766,0.35932308644864436,0.003204409915201581,26.338620455329426,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/42f08a29af3699f4/00000004--d97c3bab42/8/sim.csv
2900,0.0102225909580888,0.00971929359740207,-0.00969625306154,0.19985147278431972,0.039112781831379305,0.007354049522220295,27.995291931034483,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/42f08a29af3699f4/00000007--368fd7fff3/18/sim.csv
1319,0.01256245455879828,0.009395677323009857,-0.00316425221595906,0.21781082555687903,-0.10452015177558757,0.10953629724915752,13.031932964366943,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/42f08a29af3699f4/00000007--368fd7fff3/3/sim.csv
2900,0.007150835136670009,0.006488144506444828,0.006332931389203449,0.31378019832966203,0.17494347770975863,0.02235743882059713,16.321516379310346,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/42f08a29af3699f4/00000007--ff2a4016d2/3/sim.csv
2899,0.008496020878811423,0.004701792011324939,-0.002168541326330114,0.23289147879559086,0.028904210530144876,0.08719023470396525,14.187536240082785,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/42f08a29af3699f4/0000000c--859dd27493/20/sim.csv
