yaw_rate_pred_rads,yaw_rate_meas_rads,delta_road_rad,yaw_rate_resid_rads
0.0,0.000231771,0.0456866,0.000231771
0.0,0.000780899,0.0456866,0.000780899
0.0,0.000170314,0.0456866,0.000170314
0.0,0.0,0.0456866,0.0
0.0,0.0004,0.0456866,0.0004
0.0,0.0,0.0456866,0.0
0.0,3.68736e-05,0.0456866,3.68736e-05
0.0,0.0006,0.0456866,0.0006
0.0,0.0,0.0456866,0.0
0.0,0.0,0.0456866,0.0
0.0,0.000256204,0.0456866,0.000256204
0.0,0.000553257,0.0456866,0.000553257
0.0,0.0,0.0456866,0.0
0.0,0.0,0.0456866,0.0
0.0,-0.0002,0.0456866,-0.0002
0.0,-0.0002,0.0456866,-0.0002
0.0,-5.66169e-06,0.0456866,-5.66169e-06
0.0,0.000385148,0.0456866,0.000385148
0.0,-1.80749e-05,0.0456866,-1.80749e-05
0.0,-0.0002,0.0456866,-0.0002
0.0,0.0,0.0456866,0.0
0.0,0.0,0.0456866,0.0
0.0,0.0,0.0456866,0.0
0.0,0.0002,0.0456866,0.0002
0.0,0.0002,0.0456866,0.0002
0.0,0.0,0.0456866,0.0
0.0,0.0,0.0456866,0.0
0.0,0.0,0.0456866,0.0
0.0,1.58487e-05,0.0456866,1.58487e-05
0.0,0.0,0.0456866,0.0
0.0,-2.90855e-05,0.0456866,-2.90855e-05
0.0,0.0,0.0456866,0.0
0.0,1.77361e-05,0.0456866,1.77361e-05
