segment,regime,n,rmse_imu,rmse_model
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000075--d55ce4eced/11/sim.csv,cruise,249,20.937959662658532,6.512795499247236
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000075--d55ce4eced/11/sim.csv,accel,212,24.61406237308048,8.272152247941117
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000075--d55ce4eced/11/sim.csv,brake,1778,18.150861590916737,5.363425459389796
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000075--d55ce4eced/11/sim.csv,coast,169,15.486344933858451,2.461524652440724
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000075--d55ce4eced/11/sim.csv,other,492,11.351487368712021,2.599736217666364
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/0000007b--a5df7b4b40/6/sim.csv,all,2900,2.2297663385731843,3.935397730425251
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/0000007b--a5df7b4b40/6/sim.csv,cruise,2507,2.2299500727331614,3.8930608095584645
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/0000007b--a5df7b4b40/6/sim.csv,accel,348,2.178897089355644,4.1911276700970514
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/0000007b--a5df7b4b40/6/sim.csv,other,45,2.5807997205653614,4.228529916602411
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000080--16c667956a/12/sim.csv,all,2898,4.732123892196898,9.277186947397006
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000080--16c667956a/12/sim.csv,cruise,713,4.545058935979344,9.587252811777441
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000080--16c667956a/12/sim.csv,accel,862,5.159963366603373,9.444867260708277
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000080--16c667956a/12/sim.csv,brake,1133,4.18286697308358,8.641693320602498
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000080--16c667956a/12/sim.csv,other,189,6.245292172009859,10.853968793817934
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/000000b7--f8cd6de6b5/13/sim.csv,all,2900,1.3704320013430493,6.114474055568407
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/000000b7--f8cd6de6b5/13/sim.csv,cruise,1099,1.7271570948392543,3.109089227271139
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/000000b7--f8cd6de6b5/13/sim.csv,accel,392,1.1306214152729845,3.026044166388612
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/000000b7--f8cd6de6b5/13/sim.csv,brake,912,0.8292097873628961,8.450016183978647
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/000000b7--f8cd6de6b5/13/sim.csv,other,497,1.4464770050382612,7.650493526820392
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/000000ba--5a3bac4734/19/sim.csv,all,2899,1.2947809114165243,5.473633603264769
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/000000ba--5a3bac4734/19/sim.csv,cruise,982,1.0826904320897757,2.4961402272307773
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/000000ba--5a3bac4734/19/sim.csv,accel,708,1.054457568683805,4.568708375327954
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/000000ba--5a3bac4734/19/sim.csv,brake,406,1.6804383040353532,7.532515549974344
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/000000ba--5a3bac4734/19/sim.csv,other,803,1.4868573232839126,7.311202198757622
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/00000002--80da9e0592/11/sim.csv,all,2899,0.995314424374685,3.9465734376114656
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/00000002--80da9e0592/11/sim.csv,cruise,1997,0.8978526825341333,3.6538745636889485
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/00000002--80da9e0592/11/sim.csv,accel,407,1.3279257304827632,4.799292679661214
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/00000002--80da9e0592/11/sim.csv,brake,235,1.2526774989578118,5.126163661871993
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/00000002--80da9e0592/11/sim.csv,other,260,0.8217607675734705,3.363787975760798
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/00000003--25e4b9455f/3/sim.csv,all,2900,0.23854779551450425,11.347506616694274
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/00000003--25e4b9455f/3/sim.csv,brake,59,0.25235869018767937,16.58303577480717
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/00000003--25e4b9455f/3/sim.csv,coast,2437,0.23215254314306752,10.569731824605489
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/00000003--25e4b9455f/3/sim.csv,other,404,0.2721640537286446,14.499618942086395
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/00000004--c2ebfcbf0d/0/sim.csv,all,2971,793.6590791995852,1.0174190561451906
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/00000004--c2ebfcbf0d/0/sim.csv,cruise,436,796.8833262665107,0.5096055576378299
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/00000004--c2ebfcbf0d/0/sim.csv,accel,129,799.1012827138256,2.079785743333533
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/00000004--c2ebfcbf0d/0/sim.csv,brake,249,786.3790655059862,2.5367745260792165
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/00000004--c2ebfcbf0d/0/sim.csv,other,2157,793.5159653024006,0.6096943609787856
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/00000005--ae4e9a4232/7/sim.csv,all,2898,0.4958072305160614,9.753369157784899
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/00000005--ae4e9a4232/7/sim.csv,brake,552,0.7295689612228838,5.928585849405261
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/00000005--ae4e9a4232/7/sim.csv,coast,730,0.5075336878956671,11.587255479292539
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/00000005--ae4e9a4232/7/sim.csv,other,1616,0.3777094811956761,9.896328550562039
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/00000007--a73f10cbaf/0/sim.csv,all,2986,12.104861224716283,0.0
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/00000007--a73f10cbaf/0/sim.csv,other,2986,12.104861224716283,0.0
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/00000007--e863c773d8/13/sim.csv,all,2899,2.7153179698865606,2.6100644490510416
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/00000007--e863c773d8/13/sim.csv,cruise,858,2.9902420318747125,3.31864726881852
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/00000007--e863c773d8/13/sim.csv,accel,1185,2.6951901231709914,2.658928236165866
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/00000007--e863c773d8/13/sim.csv,brake,393,2.7486360162516825,1.6270909404265725
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/00000007--e863c773d8/13/sim.csv,other,463,2.142506778955458,1.3797911717085547
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/00000008--42a6b6e589/5/sim.csv,all,2899,1.5071020806719542,11.083486375614394
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/00000008--42a6b6e589/5/sim.csv,cruise,207,1.7831176088235465,8.211323468894387
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/00000008--42a6b6e589/5/sim.csv,accel,116,2.6336881986487346,7.55376242224377
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/00000008--42a6b6e589/5/sim.csv,brake,891,1.4503053246452386,9.937546082894853
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/00000008--42a6b6e589/5/sim.csv,coast,339,2.1036199276704552,19.094646586874557
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/00000008--42a6b6e589/5/sim.csv,other,1346,1.1394673698289999,9.596462249211388
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/00000008--805450550d/1/sim.csv,all,2900,0.4555746167304493,12.714824266037725
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/00000008--805450550d/1/sim.csv,coast,2900,0.4555746167304493,12.714824266037725
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/0000000a--8f200edb07/5/sim.csv,all,2899,0.5577647864758541,2.8215357877705993
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/0000000a--8f200edb07/5/sim.csv,cruise,504,0.66994508486368,3.201296659921562
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/0000000a--8f200edb07/5/sim.csv,accel,1342,0.5870964243373148,2.5307967880620024
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/0000000a--8f200edb07/5/sim.csv,brake,847,0.4746552781995373,2.6390728299700297
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/0000000a--8f200edb07/5/sim.csv,coast,13,0.6109650663018439,3.267754427014045
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/0000000a--8f200edb07/5/sim.csv,other,193,0.3005319868427758,4.1228795381436205
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/0000000b--8782d0e326/4/sim.csv,all,2900,0.7852292543633342,12.30757324475338
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/0000000b--8782d0e326/4/sim.csv,coast,2900,0.7852292543633342,12.30757324475338
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/0000000f--bbbb407e6f/23/sim.csv,all,2899,1.0512390851124287,0.0
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/0000000f--bbbb407e6f/23/sim.csv,other,2899,1.0512390851124287,0.0
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/00000016--300e9e8ccb/0/sim.csv,all,2983,824.4405694272458,0.0
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/00000016--300e9e8ccb/0/sim.csv,brake,12,580.1885189563177,0.0
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/00000016--300e9e8ccb/0/sim.csv,other,2971,825.2805474763647,0.0
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/00000016--300e9e8ccb/14/sim.csv,all,2899,2.3461726671251513,2.8780945723736715
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/00000016--300e9e8ccb/14/sim.csv,cruise,751,2.732457324689794,1.8170441494114704
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/00000016--300e9e8ccb/14/sim.csv,accel,636,2.481337060363261,2.7941824926774723
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/00000016--300e9e8ccb/14/sim.csv,brake,552,2.8425353631148815,4.589952349204331
FORD_F_150_LIGHTNING_MK1/112e4d6e0cad05e1/00000016--300e9e8ccb/14/sim.csv,other,960,1.43409938794392,2.2682657838418847
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000000--8fc840ef72/7/sim.csv,all,2898,0.5514706948908643,4.687760640430058
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000000--8fc840ef72/7/sim.csv,cruise,551,0.6320125745536065,7.668601333228557
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000000--8fc840ef72/7/sim.csv,accel,629,0.2794146208543825,4.0291177113558145
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000000--8fc840ef72/7/sim.csv,brake,578,0.9882625420164857,5.220575378543963
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000000--8fc840ef72/7/sim.csv,coast,33,0.5700495516951678,6.74030701870613
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000000--8fc840ef72/7/sim.csv,other,1107,0.18258866586587763,1.8570376675174
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000001--78b1a37248/0/sim.csv,all,2974,1.9870632593941049,4.272838121512939
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000001--78b1a37248/0/sim.csv,cruise,999,2.2431767164393226,4.770969596381568
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000001--78b1a37248/0/sim.csv,accel,898,1.8697043497353856,3.8790326534512043
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000001--78b1a37248/0/sim.csv,brake,384,1.9796992408085963,4.454037469211608
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000001--78b1a37248/0/sim.csv,coast,126,1.266563135460927,3.4453538841227314
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000001--78b1a37248/0/sim.csv,other,567,1.815796717655996,3.9689287282987107
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000001--78b1a37248/11/sim.csv,all,2900,0.3756496166542241,2.8644984217091363
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000001--78b1a37248/11/sim.csv,cruise,2658,0.37965861359993913,2.8449131311284215
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000001--78b1a37248/11/sim.csv,accel,94,0.3764153069655076,4.1768402774340645
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000001--78b1a37248/11/sim.csv,brake,82,0.29352490531797326,2.152699455613442
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000001--78b1a37248/11/sim.csv,coast,19,0.3462441217650774,2.4840397186949845
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000001--78b1a37248/11/sim.csv,other,47,0.2705141861555825,1.7610097367802455
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000001--78b1a37248/6/sim.csv,all,2900,0.9322797332491014,5.693785892025552
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000001--78b1a37248/6/sim.csv,cruise,2434,0.9055173745759308,5.659088515761471
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000001--78b1a37248/6/sim.csv,accel,180,0.21847492610643324,1.5654450490611433
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000001--78b1a37248/6/sim.csv,brake,124,1.397369936559031,7.318569948413139
FORD_F_150_LIGHTNING_MK1/2eb001918aefbb1e/00000001--78b1a37248/6/sim.csv,other,162,1.3005597193764138,7.446683782808188
