t_s,delta_road_rad,v_mps,yaw_rate_pred_rads,yaw_rate_meas_rads,yaw_rate_resid_rads
2.38,0.000307999,8.36011,0.014390469629053357,0.0157184,0.0148555
2.4,0.000307999,8.36111,0.011574075574532576,0.0169908,0.0161277
2.42,0.000406725,8.38018,0.01183120036609361,0.016423,0.0152808
2.44,0.000410666,8.3778,0.011841291300313491,0.0156,0.014447
2.46,0.000513332,8.38057,0.012108225957785913,0.0141989,0.0127572
2.48,0.000513332,8.39893,0.012109930198014485,0.0126833,0.0112384
2.5,0.000615999,8.43556,0.012381760193185664,0.0116117,0.00987028
2.52,0.000615999,8.44953,0.015199903584571404,0.0115865,0.00984223
2.54,0.000615999,8.46089,0.015201299225808124,0.0122,0.0104534
2.56,0.000615999,8.46932,0.015202334442034414,0.0127887,0.0110403
2.58,0.000615999,8.449,0.015199838472974491,0.0132,0.0114558
2.6,0.000615999,8.47161,0.015202615582587856,0.0132,0.0114512
2.62,0.000615999,8.46967,0.015202377404431044,0.0137957,0.0120473
2.64,0.000615999,8.4912,0.015205019469115993,0.0136,0.0118471
2.66,0.000615999,8.50539,0.015206759402420878,0.0136,0.0118442
2.68,0.000615999,8.52869,0.015209613939048051,0.0141151,0.0123544
2.7,0.000615999,8.59628,0.015217877518751692,0.0149947,0.0132201
2.72,0.000615999,8.61606,0.015220291030229979,0.0144125,0.0126339
2.74,0.000615999,8.61667,0.015220365437522405,0.0144,0.0126212
2.76,0.000615999,8.66047,0.015225701865407577,0.0146,0.0128122
2.78,0.000615999,8.6508,0.01240809847363723,0.0147454,0.0129596
2.8,0.000718665,8.63343,0.012680401274097077,0.0161935,0.0141142
2.82,0.000718665,8.63605,0.015497225751473285,0.0164,0.0143201
2.84,0.000718665,8.6527,0.015499755896169946,0.0169981,0.0149142
2.86,0.000718665,8.67771,0.015503552952338738,0.0170011,0.0149112
2.88,0.000718665,8.70324,0.0155074247770915,0.0164307,0.0143346
2.9,0.000718665,8.70835,0.015508199260130641,0.0161942,0.0140969
2.92,0.000718665,8.71108,0.01550861292012335,0.0152131,0.0131151
2.94,0.000718665,8.71391,0.015509041710650382,0.0135987,0.0115001
2.96,0.000718665,8.71951,0.015509890023314491,0.0134,0.0113
2.98,0.000718665,8.72472,0.015510679080776028,0.0132193,0.011118
3.0,0.000718665,8.75557,0.01551534761728083,0.0122006,0.0100919
3.02,0.000718665,8.76374,0.015516582953544572,0.0127856,0.0106749
3.04,0.000718665,8.76943,0.01551744306428422,0.0133979,0.0112858
3.06,0.000718665,8.79174,0.015520813292332472,0.0146047,0.0124873
3.08,0.000718665,8.80483,0.015522789206013094,0.015,0.0128794
3.1,0.000718665,8.82212,0.01552539735199384,0.015,0.0128753
3.12,0.000718665,8.81121,0.015523751852986852,0.015,0.0128779
3.14,0.000718665,8.81662,0.015524567894234419,0.0150022,0.0128788
3.16,0.000718665,8.80851,0.015523344485101637,0.0152056,0.0130841
3.18,0.000718665,8.82148,0.015525300852544182,0.0154,0.0132754
3.2,0.000718665,8.85489,0.01553033516997232,0.0154,0.0132674
3.22,0.000718665,8.90293,0.015537561011951874,0.015,0.0128558
3.24,0.000718665,8.91369,0.015539177318425914,0.015,0.0128532
3.26,0.000718665,8.89185,0.015535895797021327,0.0146032,0.0124617
3.28,0.000718665,8.90198,0.015537418258888762,0.0142544,0.0121104
3.3,0.000718665,8.87566,0.015533461129017812,0.0145836,0.012446
3.32,0.000718665,8.90017,0.015537146264017095,0.014996,0.0128525
3.34,0.000718665,8.91741,0.012723309775836215,0.0146,0.0124523
3.36,0.000816391,8.94651,0.01299783686666717,0.0149808,0.0125331
3.38,0.000821331,8.9447,0.013011167833089605,0.0151659,0.0127039
3.4,0.000821331,8.94167,0.015827049052462093,0.0146,0.0121388
3.42,0.000821331,8.95257,0.015829009168694407,0.0147851,0.012321
3.44,0.000821331,8.94449,0.015827556257237665,0.0155957,0.0131338
3.46,0.000821331,8.98045,0.01583401859344787,0.0156011,0.0131293
3.48,0.000821331,8.99095,0.01583590365659625,0.0154,0.0129253
3.5,0.000821331,8.98345,0.0158345572986291,0.0150108,0.0125381
3.52,0.000821331,9.01289,0.018656266010367437,0.015,0.0125192
3.54,0.000718665,9.03104,0.018373181153767376,0.015,0.012825
3.56,0.000718665,9.06544,0.01556189013709326,0.015,0.0128167
3.58,0.000718665,9.06404,0.015561681308209712,0.0153615,0.0131785
3.6,0.000718665,9.03889,0.015557927525947235,0.0149956,0.0128187
3.62,0.000718665,9.03889,0.015557927525947235,0.0144076,0.0122307
3.64,0.000718665,9.08314,0.015564529263720631,0.0142,0.0120124
3.66,0.000718665,9.08611,0.015564971891906778,0.0145995,0.0124112
3.68,0.000718665,9.0835,0.015564582928075568,0.0149774,0.0127897
3.7,0.000718665,9.09166,0.015565798863841398,0.0152,0.0130104
3.72,0.000718665,9.08894,0.015565393603313075,0.0153927,0.0132037
3.74,0.000718665,9.10814,0.015568253204108427,0.0152079,0.0130143
3.76,0.000718665,9.13056,0.01557158924985478,0.0154003,0.0132013
3.78,0.000718665,9.14861,0.015574272580059615,0.0158,0.0135967
3.8,0.000718665,9.16901,0.015577302545653421,0.0144257,0.0122175
3.82,0.000718665,9.16389,0.015576542380809941,0.014,0.011793
3.84,0.000718665,9.16624,0.015576891297042032,0.0142,0.0119924
3.86,0.000718665,9.13202,0.015571806367725038,0.0140151,0.0118157
3.88,0.000718665,9.14835,0.015574233923547115,0.0136302,0.0114269
3.9,0.000718665,9.1583,0.01557571217509354,0.0139967,0.011791
3.92,0.000718665,9.17718,0.015578515276155478,0.014,0.0117898
3.94,0.000718665,9.18871,0.015580225927695583,0.0143821,0.0121691
3.96,0.000718665,9.2109,0.015583515590487056,0.0151927,0.0129744
3.98,0.000718665,9.20854,0.01558316586769162,0.0159443,0.0137265
4.0,0.000718665,9.23547,0.015587154158628302,0.0158,0.0135757
4.02,0.000718665,9.21947,0.01558478518112376,0.0154016,0.0131811
4.04,0.000718665,9.23899,0.015587675114522338,0.0147946,0.0125695
4.06,0.000718665,9.24693,0.015588849862406134,0.0147867,0.0125597
4.08,0.000718665,9.25511,0.015590059706164205,0.0138763,0.0116473
4.1,0.000718665,9.2394,0.015587735777507975,0.0132,0.0109748
4.12,0.000718665,9.26937,0.015592167661754697,0.013399,0.0111666
4.14,0.000718665,9.29702,0.01559625103180899,0.0136079,0.0113688
4.16,0.000718665,9.28644,0.012778263002261547,0.013989,0.0117524
4.18,0.000811213,9.28611,0.01304315418915372,0.0147606,0.0122361
4.2,0.000821331,9.29987,0.013074556833289995,0.015393,0.0128332
4.22,0.000821331,9.33232,0.01589672552596926,0.0154,0.0128313
4.24,0.000821331,9.33882,0.015897874802289377,0.0165807,0.0140102
4.26,0.000821331,9.33889,0.01589788719253464,0.0168049,0.0142344
4.28,0.000821331,9.35693,0.015901075115181813,0.0160548,0.0134794
4.3,0.000821331,9.36104,0.018718227242686663,0.016,0.0134234
4.32,0.000718665,9.35555,0.018421303558825017,0.0153998,0.0131466
4.34,0.000718665,9.34758,0.015603704120707163,0.0141861,0.0119348
4.36,0.000718665,9.36875,0.015606819570926045,0.0136116,0.0113553
4.38,0.000718665,9.37196,0.01560729170147175,0.0132327,0.0109755
4.4,0.000718665,9.39442,0.015610593117102767,0.0128004,0.0105378
4.42,0.000718665,9.41876,0.015614166946813265,0.013567,0.0112985
4.44,0.000718665,9.41121,0.015613058839881526,0.0142,0.0119334
4.46,0.000718665,9.41389,0.015613452212433343,0.0148012,0.012534
4.48,0.000718665,9.41647,0.015613830878185683,0.0157476,0.0134798
4.5,0.000718665,9.44381,0.0156178407329602,0.0154086,0.0131341
4.52,0.000718665,9.45266,0.015619137625214958,0.0152,0.0129234
4.54,0.000718665,9.43337,0.01561631013768097,0.0153993,0.0131274
4.56,0.000718665,9.46657,0.01562117491105469,0.0156,0.0133201
4.58,0.000718665,9.46409,0.015620811749912627,0.0154268,0.0131475
4.6,0.000718665,9.45566,0.015619577099882565,0.0148046,0.0125273
4.62,0.000718665,9.44221,0.015617606201640802,0.0148,0.0125259
4.64,0.000718665,9.44981,0.015618720034525286,0.0149918,0.0127159
4.66,0.000718665,9.46916,0.015621554093249872,0.0148057,0.0125252
4.68,0.000718665,9.4876,0.015624252440258817,0.015,0.012715
4.7,0.000718665,9.51373,0.01562807198311322,0.015,0.0127087
4.72,0.000718665,9.54339,0.01563240181051511,0.0153862,0.0130878
4.74,0.000718665,9.53071,0.01563055150196063,0.0150084,0.012713
4.76,0.000718665,9.55541,0.01563415475804318,0.0144046,0.0121033
4.78,0.000718665,9.57352,0.015636793918650457,0.0145712,0.0122655
4.8,0.000718665,9.54764,0.015633021711530925,0.0149944,0.0126949
4.82,0.000718665,9.56381,0.015635379146758704,0.015,0.0126967
4.84,0.000718665,9.55844,0.01563459646201956,0.015,0.0126979
4.86,0.000718665,9.56376,0.01563537187151319,0.0148094,0.012506
4.88,0.000718665,9.58157,0.015637966294994227,0.0144342,0.0121266
4.9,0.000718665,9.59166,0.015639435149610935,0.0147998,0.0124897
4.92,0.000718665,9.58629,0.01563865350186761,0.0144128,0.012104
4.94,0.000718665,9.56961,0.01563622431824179,0.0149928,0.0126881
4.96,0.000718665,9.59703,0.015640216627776468,0.0154,0.0130887
4.98,0.000718665,9.59979,0.01564061816354198,0.0146578,0.0123458
5.0,0.000718665,9.60274,0.015641047290381748,0.0147972,0.0124845
